Stadsdel ◄,Lägenhet,Bos.t. ◄,m2 ◄,Sk.fr. pris € ◄,€/m2 ◄,Br ◄,Vån ◄,Hiss ◄,Skick ◄,Tomt ◄,Energik. ◄
Itäinen keskusta,2h+k+kh,kt,"70,00",260200,3717,1924,5/5,ja,bra,egen,F
Uittamo,2h+k,kt,"54,00",138000,2556,1965,2/7,ja,bra,egen,E2013
Hannunniittu,2h+k,kt,"61,50",142152,2311,1976,1/6,ja,nöjaktig,egen,B2018
Härkämäki,"2h,k,kph,p",kt,"63,00",61000,968,1975,2/3,nej,nöjaktig,egen,
Varissuo,"2h,k,kph,lp",kt,"45,00",70000,1556,1987,10/12,ja,,egen,E2013
Kärsämäki,"2h, k, p",kt,"60,50",137000,2264,1975,3/3,nej,bra,egen,E
Vätti,"2h, k, kph, p.",kt,"44,50",119500,2685,1962,4/6,ja,bra,egen,F2013
Mäntymäki,2h+kt+s,kt,"54,50",201500,3697,2015,1/7,ja,bra,egen,B2018
Hepokulta,"2h,k,kph,wc,las.p",kt,"59,00",65441,1109,1971,3/4,ja,nöjaktig,egen,F2013
Ilpoinen,2 h+k,kt,"59,50",108000,1815,1974,7/8,ja,nöjaktig,egen,F2013
Satama,"2 h,kt,vh",kt,"43,00",187000,4349,2019,2/7,ja,,egen,B2013
Itäinen keskusta,2 h+k,kt,"51,00",175100,3433,1961,4/7,ja,bra,egen,G2013
Härkämäki,"2 h,k",kt,"57,50",70000,1217,1977,2/3,nej,nöjaktig,egen,D2013
Lauste,"2 h, k, vh, p",kt,"58,50",72000,1231,1974,4/8,ja,bra,hyrd,E2013
Runosmäki,"2h,k,kph,vh,p",kt,"62,00",56000,903,1974,2/3,nej,nöjaktig,egen,C2007
Keskusta,"2h, k",kt,"38,50",145000,3766,1941,4/8,ja,nöjaktig,egen,F2013
Kakolanmäki,"2 h,kt,vh",kt,"40,00",182251,4556,2020,4/6,ja,,hyrd,B2018
Runosmäki,"2h, k, kph, vh",kt,"58,00",89642,1546,1974,2/8,ja,bra,egen,C2007
Suikkila,"2h, k, kph, p",kt,"59,00",99000,1678,1973,1/3,nej,bra,egen,E2013
Keskusta,"2h,kk,las.p",kt,"41,00",150100,3661,1967,3/5,ja,bra,egen,C2013
Keskusta,"2h, k, p",kt,"61,00",165000,2705,1963,3/7,ja,nöjaktig,egen,E
Ispoinen,"2h, k, p",kt,"53,00",120000,2264,1980,3/5,ja,bra,egen,F
Petrelius,"2, k, kph, p",kt,"59,00",138000,2339,1969,4/8,ja,bra,egen,F2013
Laukkavuori,2h+k+kph+parveke,kt,"58,50",115000,1966,1972,6/7,ja,bra,egen,D2013
Port arthur,"2h,kt,kph,s,vh,lp",kt,"54,00",240000,4444,2014,5/5,ja,bra,egen,C2018
Keskusta,"2h,k,kph,vh,parv",kt,"56,00",184500,3295,1960,8/8,ja,bra,egen,D2013
Keskusta,2h+kt,kt,"37,50",200000,5333,2019,3/6,ja,bra,egen,C2013
Kohmo,"2h,k,s,lasit.pa...",kt,"52,00",107000,2058,1994,1/6,ja,nöjaktig,egen,E2013
Runosmäki,2h+k,kt,"62,00",62000,1000,1975,1/3,nej,bra,hyrd,D2013
