"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Keskusta","2h+k+kph/wc+par...","kt","58,00",208000,3586,1954,"6/6","on","hyvä","oma","C2007"
"Keskusta","2h,k,kph,s,wc,l...","kt","52,00",215000,4135,2002," ","on","hyvä","oma","F2013"
"Kaerla","2h+k","kt","55,00",140000,2545,1964," ","on","hyvä","oma","D2007"
"Varissuo","2h,kk,p","kt","45,00",58000,1289,1984,"5/6","on","tyyd.","oma","F"
"Satama","2 h,k,s,p","kt","54,00",258000,4778,2022,"5/6","on"," ","oma","A2018"
"Varissuo","2h,k,kph,las.p","kt","58,50",42000,718,1977,"5/7","on","huono","oma","D2013"
"Satama","2 h,k,s,p","kt","54,00",258000,4778,2022,"5/6","on"," ","oma","A2018"
"Kohmo","1h+tk+s","kt","43,00",118000,2744,1994,"5/7","on","tyyd.","oma","E2013"
"Satama","2 h,k,vh,parveke","kt","56,00",250000,4464,2020,"5/7","on"," ","oma","A2018"
"Satama","2 h,k,vh,parveke","kt","57,00",252500,4430,2020,"5/7","on"," ","oma","A2018"
"Varissuo","2h, k","kt","60,00",73500,1225,1977,"5/8","on","hyvä","oma","D2013"
"Satama","2 h,k,vh,parveke","kt","50,00",236500,4730,2020,"5/7","on"," ","oma","A2018"
"Itäinen keskusta","2h, avok, kh","kt","65,00",167000,2569,1928,"5/5","on","hyvä","oma","G2013"
"Martti","2h+k+s","kt","55,50",182000,3279,1948,"5/7","on","hyvä","oma","G2007"
"Keskusta","2h,k","kt","91,00",307000,3374,1929,"5/5","on","hyvä","oma","C2007"
"Satama","2 h,k,vh,s","kt","56,00",246737,4406,2019,"5/7","on"," ","oma","B2013"
"Uittamo","2h+kk+kph+vh+las.p","kt","47,00",84000,1787,1974,"5/7","on","tyyd.","oma","D2007"
"Satama","2 h,k,vh,parveke","kt","50,00",238000,4760,2020,"5/6","on"," ","oma","A2018"
